numero,nome_colunas
0,AGE_PERCENTIL
1,GENDER
2,DISEASE GROUPING 1
3,DISEASE GROUPING 2
4,DISEASE GROUPING 3
5,DISEASE GROUPING 4
6,DISEASE GROUPING 6
7,HTN
8,OTHER
9,ALBUMIN_MEDIAN
10,BE_VENOUS_MEDIAN
11,BLAST_MEDIAN
12,LACTATE_MEDIAN
13,LINFOCITOS_MEDIAN
14,P02_VENOUS_MEDIAN
15,PCR_MEDIAN
16,PLATELETS_MEDIAN
17,POTASSIUM_MEDIAN
18,SAT02_ARTERIAL_MEDIAN
19,SODIUM_MEDIAN
20,UREA_MEDIAN
21,BLOODPRESSURE_DIASTOLIC_MEAN
22,RESPIRATORY_RATE_MEAN
23,TEMPERATURE_MEAN
24,OXYGEN_SATURATION_MEAN
25,BLOODPRESSURE_DIASTOLIC_MAX
26,BLOODPRESSURE_DIASTOLIC_DIFF
27,BLOODPRESSURE_SISTOLIC_DIFF
28,HEART_RATE_DIFF
29,RESPIRATORY_RATE_DIFF
30,ICU
