numero,nome_colunas
0,AGE_ABOVE65
1,AGE_PERCENTIL
2,GENDER
3,DISEASE GROUPING 1
4,DISEASE GROUPING 2
5,DISEASE GROUPING 3
6,DISEASE GROUPING 4
7,DISEASE GROUPING 5
8,DISEASE GROUPING 6
9,HTN
10,IMMUNOCOMPROMISED
11,OTHER
12,ALBUMIN_MEDIAN
13,BE_ARTERIAL_MEDIAN
14,BE_VENOUS_MEDIAN
15,BIC_VENOUS_MEDIAN
16,BILLIRUBIN_MEDIAN
17,BLAST_MEDIAN
18,CALCIUM_MEDIAN
19,CREATININ_MEDIAN
20,FFA_MEDIAN
21,GGT_MEDIAN
22,GLUCOSE_MEDIAN
23,HEMATOCRITE_MEDIAN
24,INR_MEDIAN
25,LACTATE_MEDIAN
26,LEUKOCYTES_MEDIAN
27,LINFOCITOS_MEDIAN
28,P02_ARTERIAL_MEDIAN
29,P02_VENOUS_MEDIAN
30,PC02_ARTERIAL_MEDIAN
31,PC02_VENOUS_MEDIAN
32,PCR_MEDIAN
33,PH_ARTERIAL_MEDIAN
34,PH_VENOUS_MEDIAN
35,PLATELETS_MEDIAN
36,POTASSIUM_MEDIAN
37,SAT02_ARTERIAL_MEDIAN
38,SAT02_VENOUS_MEDIAN
39,SODIUM_MEDIAN
40,TGO_MEDIAN
41,TGP_MEDIAN
42,TTPA_MEDIAN
43,UREA_MEDIAN
44,DIMER_MEDIAN
45,BLOODPRESSURE_DIASTOLIC_MEAN
46,BLOODPRESSURE_SISTOLIC_MEAN
47,HEART_RATE_MEAN
48,RESPIRATORY_RATE_MEAN
49,TEMPERATURE_MEAN
50,OXYGEN_SATURATION_MEAN
51,BLOODPRESSURE_DIASTOLIC_MAX
52,ICU
