numero,nome_colunas
0,AGE_ABOVE65
1,AGE_PERCENTIL
2,GENDER
3,DISEASE GROUPING 1
4,DISEASE GROUPING 2
5,DISEASE GROUPING 3
6,DISEASE GROUPING 4
7,DISEASE GROUPING 5
8,DISEASE GROUPING 6
9,HTN
10,IMMUNOCOMPROMISED
11,OTHER
12,ALBUMIN_MEDIAN
13,BE_VENOUS_MEDIAN
14,BLAST_MEDIAN
15,FFA_MEDIAN
16,GGT_MEDIAN
17,HEMATOCRITE_MEDIAN
18,LACTATE_MEDIAN
19,LEUKOCYTES_MEDIAN
20,LINFOCITOS_MEDIAN
21,P02_VENOUS_MEDIAN
22,PCR_MEDIAN
23,PLATELETS_MEDIAN
24,POTASSIUM_MEDIAN
25,SAT02_ARTERIAL_MEDIAN
26,SAT02_VENOUS_MEDIAN
27,SODIUM_MEDIAN
28,UREA_MEDIAN
29,BLOODPRESSURE_DIASTOLIC_MEAN
30,BLOODPRESSURE_SISTOLIC_MEAN
31,HEART_RATE_MEAN
32,RESPIRATORY_RATE_MEAN
33,TEMPERATURE_MEAN
34,OXYGEN_SATURATION_MEAN
35,BLOODPRESSURE_DIASTOLIC_MAX
36,BLOODPRESSURE_DIASTOLIC_DIFF
37,BLOODPRESSURE_SISTOLIC_DIFF
38,HEART_RATE_DIFF
39,RESPIRATORY_RATE_DIFF
40,TEMPERATURE_DIFF
41,ICU
